"","G","fV","betaV","betaH","kstarN","phi","Protein_intake","Lipid_intake","lipid_absorption_efficiency","protein_absorption","lipid_absorption","Respiration","Excretion","Pellet_C","Pellet_N","Growth_G","Growth_N","G.2"
"19",0.006,0.18,0.858,0.665,0.6119194,0,0.0655870220558381,0.0190783339264994,0.858,0.665,0.0562736649239091,0.0126870920611221,0.0629607569850311,0.0140552524742374,0.0157045989973063,0.00251712354917,0.006,0.00115384615384615
"20",0.006,0.19,0.858,0.665,0.6119194,0,0.0657670373448545,0.0188439563298939,0.858,0.665,0.0564281180418852,0.0125312309593795,0.0629593490012646,0.0140969965601768,0.0156516446734838,0.00252403224404577,0.006,0.00115384615384615
"21",0.006,0.2,0.858,0.665,0.6119194,0,0.0659470198734649,0.0186096213869169,0.858,0.665,0.0565825430514329,0.0123753982222997,0.0629579412737325,0.0141387330492438,0.0155986999866492,0.00253093968163027,0.006,0.00115384615384615
"22",0.006,0.21,0.858,0.665,0.6119194,0,0.066126969650611,0.0183753290859257,0.858,0.665,0.0567369399602242,0.0122195938421406,0.0629565338023649,0.0141804619435118,0.0155457649341719,0.00253784586226669,0.006,0.00115384615384615
"23",0.006,0.22,0.858,0.665,0.6119194,0,0.0663068866852322,0.0181410794152821,0.858,0.665,0.0568913087759292,0.0120638178111626,0.0629551265870919,0.0142221832450537,0.0154928395134225,0.0025447507862981,0.006,0.00115384615384615
"24",0.006,0.23,0.858,0.665,0.6119194,0,0.0664867709862641,0.017906872363352,0.858,0.665,0.0570456495062146,0.0119080701216291,0.0629537196278437,0.0142638969559416,0.0154399237217724,0.00255165445406743,0.006,0.00115384615384615
"25",0.006,0.24,0.858,0.665,0.6119194,0,0.0666666225626387,0.0176727079185056,0.858,0.665,0.057199962158744,0.0117523507658062,0.0629523129245503,0.0143056030782468,0.0153870175565941,0.00255855686591748,0.006,0.00115384615384615
"26",0.006,0.25,0.858,0.665,0.6119194,0,0.0668464414232852,0.0174385860691173,0.858,0.665,0.0573542467411787,0.011596659735963,0.0629509064771418,0.01434730161404,0.0153341210152608,0.00256545802219095,0.006,0.00115384615384615
"27",0.006,0.26,0.858,0.665,0.6119194,0,0.0670262275771299,0.0172045068035657,0.858,0.665,0.0575085032611775,0.0114409970243712,0.0629495002855486,0.014388992565391,0.015281234095147,0.00257235792323039,0.006,0.00115384615384615
"28",0.006,0.27,0.858,0.665,0.6119194,0,0.067205981033095,0.0169704701102336,0.858,0.665,0.0576627317263955,0.0112853626233054,0.0629480943497008,0.0144306759343688,0.0152283567936278,0.00257925656937824,0.006,0.00115384615384615
"29",0.006,0.28,0.858,0.665,0.6119194,0,0.0673857018000999,0.0167364759775083,0.858,0.665,0.0578169321444857,0.011129756525043,0.0629466886695287,0.0144723517230419,0.0151754891080794,0.00258615396097681,0.006,0.00115384615384615
"30",0.006,0.29,0.858,0.665,0.6119194,0,0.0675653898870609,0.0165025243937808,0.858,0.665,0.0579711045230982,0.0109741787218642,0.0629452832449624,0.0145140199334777,0.0151226310358792,0.00259305009836828,0.006,0.00115384615384615
"31",0.006,0.3,0.858,0.665,0.6119194,0,0.0677450453028905,0.0162686153474468,0.858,0.665,0.05812524886988,0.0108186292060522,0.0629438780759324,0.0145556805677431,0.0150697825744051,0.00259994498189472,0.006,0.00115384615384615
"32",0.006,0.31,0.858,0.665,0.6119194,0,0.0679246680564991,0.0160347488269061,0.858,0.665,0.0582793651924763,0.0106631079698926,0.0629424731623688,0.0145973336279042,0.0150169437210364,0.00260683861189807,0.006,0.00115384615384615
"33",0.006,0.32,0.858,0.665,0.6119194,0,0.0681042581567925,0.0158009248205626,0.858,0.665,0.058433453498528,0.0105076150056741,0.0629410685042021,0.0146389791160263,0.014964114473153,0.00261373098872014,0.006,0.00115384615384615
"34",0.006,0.33,0.858,0.665,0.6119194,0,0.0682838156126741,0.0155671433168244,0.858,0.665,0.0585875137956744,0.0103521503056882,0.0629396641013626,0.014680617034174,0.0149112948281359,0.00262062211270263,0.006,0.00115384615384615
"35",0.006,0.34,0.858,0.665,0.6119194,0,0.0684633404330439,0.0153334043041039,0.858,0.665,0.0587415460915517,0.0101967138622291,0.0629382599537807,0.014722247384411,0.014858484783367,0.00262751198418709,0.006,0.00115384615384615
"36",0.006,0.35,0.858,0.665,0.6119194,0,0.0686428326267982,0.0150997077708178,0.858,0.665,0.0588955503937929,0.0100413056675939,0.0629368560613869,0.0147638701688006,0.0148056843362293,0.00263440060351496,0.006,0.00115384615384615
"37",0.006,0.36,0.858,0.665,0.6119194,0,0.0688222922028313,0.0148660537053869,0.858,0.665,0.0590495267100293,0.00988592571408232,0.0629354524241115,0.014805485389405,0.0147528934841067,0.00264128797102758,0.006,0.00115384615384615
"38",0.006,0.37,0.858,0.665,0.6119194,0,0.0690017191700324,0.0146324420962362,0.858,0.665,0.0592034750478878,0.00973057399399709,0.062934049041885,0.0148470930482857,0.0147001122243837,0.00264817408706611,0.006,0.00115384615384615
