"","G","fV","betaV","betaH","kstarN","phi","Protein_intake","Lipid_intake","protein_absorption_efficiency","lipid_absorption_efficiency","protein_absorption","lipid_absorption","Respiration","Excretion","Pellet_C","Pellet_N","Growth_G","Growth_N"
"66",0.0043,0.65,0.796,0.612,0.9670608,1e-05,0.0526793763260999,0.00821592274985355,0.796,0.612,0.0419327835555755,0.00502814472291037,0.0426609282784859,0.0105062616678271,0.0139343707974676,0.00290448453257416,0.0043,0.000826923076923077
"67",0.0043,0.66,0.796,0.612,0.9670608,1e-05,0.0528586479380153,0.00798037311440919,0.796,0.612,0.0420754837586601,0.00488398834601842,0.0426594721046786,0.0105448292902824,0.0138795489477459,0.002914368697123,0.0043,0.000826923076923077
"68",0.0043,0.67,0.796,0.612,0.9670608,1e-05,0.0530378832110963,0.00774487122550463,0.796,0.612,0.0422181550360327,0.00473986119000883,0.0426580162260415,0.0105833890949776,0.0138247382105594,0.00292425085812531,0.0043,0.000826923076923077
"69",0.0043,0.68,0.796,0.612,0.9670608,1e-05,0.053217082156391,0.0075094170686238,0.796,0.612,0.0423607973964873,0.00459576324599776,0.042656560642485,0.0106219410842897,0.0137699385825298,0.00293413101619021,0.0043,0.000826923076923077
"70",0.0043,0.69,0.796,0.612,0.9670608,1e-05,0.0533962447849427,0.00727401062925653,0.796,0.612,0.0425034108488144,0.004451694505105,0.0426551053539194,0.0106604852605943,0.0137151500602798,0.00294400917192657,0.0043,0.000826923076923077
"71",0.0043,0.7,0.796,0.612,0.9670608,1e-05,0.0535753711077904,0.00703865189289854,0.796,0.612,0.0426459954018012,0.00430765495845391,0.042653650360255,0.0106990216262664,0.0136603726404339,0.00295388532594304,0.0043,0.000826923076923077
"72",0.0043,0.71,0.796,0.612,0.9670608,1e-05,0.0537544611359684,0.00680334084505141,0.796,0.612,0.0427885510642308,0.00416364459717146,0.0426521956614022,0.0107375501836798,0.0136056063196175,0.00296375947884799,0.0043,0.000826923076923077
"73",0.0043,0.72,0.796,0.612,0.9670608,1e-05,0.0539335148805065,0.0065680774712226,0.796,0.612,0.0429310778448832,0.00401966341238823,0.0426507412572714,0.0107760709352075,0.0135508510944577,0.00297363163124955,0.0043,0.000826923076923077
"74",0.0043,0.73,0.796,0.612,0.9670608,1e-05,0.0541125323524306,0.00633286175692545,0.796,0.612,0.0430735757525347,0.00387571139523837,0.042649287147773,0.0108145838832214,0.0134961069615829,0.00298350178375563,0.0043,0.000826923076923077
"75",0.0043,0.74,0.796,0.612,0.9670608,1e-05,0.0542915135627612,0.00609769368767915,0.796,0.612,0.043216044795958,0.00373178853685964,0.0426478333328175,0.0108530890300926,0.0134413739176228,0.00299336993697386,0.0043,0.000826923076923077
"76",0.0043,0.75,0.796,0.612,0.9670608,1e-05,0.0544704585225153,0.00586257324900877,0.796,0.612,0.0433584849839222,0.00358789482839337,0.0426463798123155,0.010891586378191,0.0133866519592085,0.00300323609151165,0.0043,0.000826923076923077
"77",0.0043,0.76,0.796,0.612,0.9670608,1e-05,0.0546493672427048,0.00562750042644526,0.796,0.612,0.043500896325193,0.0034440302609845,0.0426449265861774,0.0109300759298858,0.0133319410829725,0.00301310024797616,0.0043,0.000826923076923077
"78",0.0043,0.77,0.796,0.612,0.9670608,1e-05,0.0548282397343372,0.00539247520552538,0.796,0.612,0.0436432788285324,0.00330019482578153,0.0426434736543139,0.0109685576875451,0.0132772412855486,0.00302296240697427,0.0043,0.000826923076923077
"79",0.0043,0.78,0.796,0.612,0.9670608,1e-05,0.0550070760084157,0.00515749757179181,0.796,0.612,0.0437856325026989,0.00315638851393658,0.0426420210166356,0.0110070316535361,0.013222552563572,0.00303282256911265,0.0043,0.000826923076923077
"80",0.0043,0.79,0.796,0.612,0.9670608,1e-05,0.0551858760759395,0.00492256751079302,0.796,0.612,0.0439279573564478,0.00301261131660533,0.0426405686730531,0.011045497830225,0.0131678749136793,0.00304268073499774,0.0043,0.000826923076923077
"81",0.0043,0.8,0.796,0.612,0.9670608,1e-05,0.0553646399479021,0.00468768500808339,0.796,0.612,0.04407025339853,0.00286886322494703,0.0426391166234772,0.011083956219977,0.0131132083325084,0.00305253690523568,0.0043,0.000826923076923077
"82",0.0043,0.81,0.796,0.612,0.9670608,1e-05,0.0555433676352939,0.0044528500492231,0.796,0.612,0.044212520637694,0.00272514423012454,0.0426376648678185,0.0111224068251564,0.0130585528166985,0.00306239108043242,0.0043,0.000826923076923077
"83",0.0043,0.82,0.796,0.612,0.9670608,1e-05,0.0557220591491001,0.00421806261977822,0.796,0.612,0.0443547590826837,0.00258145432330427,0.042636213405988,0.0111608496481266,0.0130039083628904,0.00307224326119363,0.0043,0.000826923076923077
"84",0.0043,0.83,0.796,0.612,0.9670608,1e-05,0.0559007145003016,0.00398332270532061,0.796,0.612,0.0444969687422401,0.00243779349565621,0.0426347622378962,0.0111992846912499,0.0129492749677259,0.00308209344812473,0.0043,0.000826923076923077
"85",0.0043,0.84,0.796,0.612,0.9670608,1e-05,0.0560793336998746,0.00374863029142802,0.796,0.612,0.0446391496251002,0.00229416173835395,0.0426333113634542,0.0112377119568878,0.0128946526278485,0.00309194164183092,0.0043,0.000826923076923077
"86",0.0043,0.85,0.796,0.612,0.9670608,1e-05,0.0562579167587915,0.00351398536368399,0.796,0.612,0.0447813017399981,0.0021505590425746,0.0426318607825727,0.0112761314474007,0.0128400413399029,0.00310178784291715,0.0043,0.000826923076923077
"87",0.0043,0.86,0.796,0.612,0.9670608,1e-05,0.0564364636880198,0.00327938790767794,0.796,0.612,0.0449234250956637,0.0020069853994989,0.0426304104951627,0.0113145431651482,0.0127854411005351,0.00311163205198812,0.0043,0.000826923076923077
"88",0.0043,0.87,0.796,0.612,0.9670608,1e-05,0.0566149744985227,0.00304483790900508,0.796,0.612,0.0450655197008241,0.00186344080031111,0.0426289605011352,0.0113529471124888,0.0127308519063926,0.00312147426964828,0.0043,0.000826923076923077
